Card_ID,Customer_ID,Card_Type,Card_Network,Credit_Limit,Outstanding_Balance,Card_Status,Issue_Date,Expiry_Date
800001,1115,Platinum,Mastercard,182994,18671,Active,2022-04-02,2027-04-01
800002,1139,Gold,Mastercard,399953,145594,Blocked,2026-05-29,2031-05-28
800003,1101,Platinum,Mastercard,338284,57254,Blocked,2021-09-20,2026-09-19
800004,1077,Gold,Visa,649082,224438,Blocked,2024-06-07,2029-06-06
800005,1175,Classic,Mastercard,828282,515371,Blocked,2022-08-26,2027-08-25
800006,1178,Platinum,Visa,80419,8660,Active,2024-08-04,2029-08-03
800007,1007,Classic,Visa,398864,274156,Expired,2023-10-31,2028-10-29
800008,1119,Classic,RuPay,377576,152115,Active,2024-08-01,2029-07-31
800009,1060,Classic,Mastercard,874710,757946,Blocked,2023-06-22,2028-06-20
800010,1070,Platinum,Mastercard,977605,271250,Blocked,2023-08-26,2028-08-24
800011,1071,Platinum,Mastercard,369004,265714,Expired,2023-04-10,2028-04-08
800012,1059,Platinum,RuPay,593872,222513,Blocked,2024-06-04,2029-06-03
800013,1106,Signature,Visa,898636,304671,Expired,2024-12-04,2029-12-03
800014,1103,Platinum,Mastercard,906194,314432,Expired,2024-10-12,2029-10-11
800015,1106,Signature,RuPay,513531,7082,Active,2021-08-31,2026-08-30
800016,1123,Signature,Visa,593078,257100,Expired,2026-04-24,2031-04-23
800017,1144,Classic,Visa,700925,638521,Expired,2026-07-12,2031-07-11
800018,1156,Signature,RuPay,874673,747049,Active,2026-04-16,2031-04-15
800019,1046,Gold,RuPay,269767,182572,Expired,2022-06-28,2027-06-27
800020,1151,Signature,RuPay,166236,102,Blocked,2022-03-04,2027-03-03
800021,1066,Signature,Visa,490129,320629,Blocked,2022-01-30,2027-01-29
800022,1059,Signature,Visa,649117,147568,Blocked,2023-01-28,2028-01-27
800023,1161,Classic,Visa,711211,706902,Active,2021-10-03,2026-10-02
800024,1110,Gold,Visa,201367,186747,Blocked,2025-10-06,2030-10-05
800025,1162,Classic,Visa,260793,250164,Blocked,2023-12-09,2028-12-07
800026,1101,Classic,Visa,539057,65290,Blocked,2022-05-07,2027-05-06
800027,1023,Classic,RuPay,210948,1856,Expired,2022-03-07,2027-03-06
800028,1127,Classic,Visa,393215,147755,Expired,2025-07-24,2030-07-23
800029,1089,Gold,Mastercard,293477,154759,Expired,2021-12-31,2026-12-30
800030,1011,Platinum,RuPay,663077,218305,Blocked,2023-10-30,2028-10-28
800031,1090,Platinum,RuPay,856776,566375,Expired,2023-05-19,2028-05-17
800032,1113,Classic,Mastercard,597071,484921,Blocked,2024-08-25,2029-08-24
800033,1120,Classic,Visa,310388,232410,Expired,2026-05-10,2031-05-09
800034,1094,Platinum,RuPay,548725,294478,Expired,2025-05-19,2030-05-18
800035,1115,Gold,Visa,664798,491856,Expired,2021-11-09,2026-11-08
800036,1163,Classic,RuPay,547279,94733,Active,2022-11-06,2027-11-05
800037,1006,Signature,Visa,212597,178126,Active,2025-04-17,2030-04-16
800038,1030,Platinum,RuPay,465605,101751,Active,2022-07-30,2027-07-29
800039,1177,Platinum,Visa,185194,67279,Active,2023-02-20,2028-02-19
800040,1004,Classic,Visa,100500,53599,Active,2025-02-10,2030-02-09
800041,1108,Signature,Mastercard,429179,418103,Active,2022-08-16,2027-08-15
800042,1093,Gold,RuPay,445961,61347,Active,2023-08-28,2028-08-26
800043,1150,Gold,Visa,665192,644015,Expired,2023-06-20,2028-06-18
