Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Interest_Rate,Loan_Term_Months,Loan_Status,EMI,Start_Date,End_Date
700001,1138,Home Loan,847017,11.35,36,Closed,23528.25,2022-07-23,2025-07-07
700002,1173,Home Loan,3470860,10.1,12,Default,289238.33,2026-07-26,2027-07-21
700003,1052,Personal Loan,726107,11.32,36,Closed,20169.64,2023-06-12,2026-05-27
700004,1047,Business Loan,1757795,12.1,60,Default,29296.58,2025-04-29,2030-04-03
700005,1172,Personal Loan,3639428,11.72,24,Closed,151642.83,2024-09-19,2026-09-09
700006,1125,Personal Loan,903582,9.87,36,Default,25099.5,2025-02-01,2028-01-17
700007,1136,Home Loan,4577831,12.93,240,Default,19074.3,2023-12-30,2043-09-16
700008,1001,Business Loan,1681423,12.28,24,Closed,70059.29,2023-11-07,2025-10-27
700009,1025,Personal Loan,4422169,14.54,24,Default,184257.04,2025-04-17,2027-04-07
700010,1160,Business Loan,4222738,10.29,24,Default,175947.42,2022-03-07,2024-02-25
700011,1008,Home Loan,813575,13.54,36,Active,22599.31,2026-02-06,2029-01-21
700012,1164,Business Loan,4543647,8.55,24,Default,189318.62,2026-03-07,2028-02-25
700013,1020,Personal Loan,1265975,10.37,60,Closed,21099.58,2024-05-03,2029-04-07
700014,1102,Business Loan,914367,8.47,36,Default,25399.08,2023-02-12,2026-01-27
700015,1156,Education Loan,1100211,7.77,36,Default,30561.42,2023-10-07,2026-09-21
700016,1093,Education Loan,4175603,13.0,24,Closed,173983.46,2024-10-15,2026-10-05
700017,1083,Home Loan,2066394,14.78,120,Default,17219.95,2024-05-14,2034-03-23
700018,1053,Car Loan,3419592,12.23,240,Default,14248.3,2022-01-03,2041-09-20
700019,1138,Business Loan,3075054,12.39,12,Closed,256254.5,2024-08-04,2025-07-30
700020,1055,Home Loan,3652052,11.08,60,Default,60867.53,2023-05-30,2028-05-03
700021,1088,Business Loan,567556,8.08,120,Default,4729.63,2024-04-11,2034-02-18
700022,1057,Home Loan,130858,7.95,240,Active,545.24,2021-12-14,2041-08-31
700023,1160,Car Loan,3005246,9.69,36,Closed,83479.06,2024-09-06,2027-08-22
700024,1179,Business Loan,3306342,12.86,240,Default,13776.42,2021-12-08,2041-08-25
700025,1060,Car Loan,2034412,10.13,240,Closed,8476.72,2026-01-13,2045-09-30
700026,1117,Business Loan,560280,12.85,24,Active,23345.0,2022-01-25,2024-01-15
700027,1124,Personal Loan,2634573,8.29,60,Active,43909.55,2025-11-02,2030-10-07
700028,1160,Education Loan,1979978,13.06,12,Active,164998.17,2023-01-12,2024-01-07
700029,1001,Business Loan,4152834,14.45,24,Closed,173034.75,2025-07-23,2027-07-13
