Transaction_ID,Account_ID,Transaction_Date,Transaction_Time,Transaction_Type,Amount,Merchant_Name,City,Device_Type,Is_Fraud,Fraud_Reason
900001,500000003,2026-11-16,18:00:09,RTGS,88215,Zomato,Kolkata,Laptop,No,Normal Transaction
900002,500000037,2026-07-14,08:17:43,IMPS,9070,Zomato,Lucknow,POS,No,Normal Transaction
900003,500000012,2026-09-19,08:08:12,RTGS,78979,DMart,Pune,ATM,No,Normal Transaction
900004,500000079,2026-03-27,16:08:24,Credit Card,23339,DMart,Mumbai,POS,No,Normal Transaction
900005,500000005,2026-10-29,11:01:50,NEFT,21618,Uber,Kolkata,Mobile,No,Normal Transaction
900006,500000069,2026-10-25,16:38:26,IMPS,28497,Amazon,Pune,POS,No,Normal Transaction
900007,500000001,2026-10-31,19:00:29,UPI,49501,Paytm,Lucknow,POS,No,Normal Transaction
900008,500000026,2026-02-25,00:26:27,NEFT,3601,Reliance,Bengaluru,Mobile,No,Normal Transaction
900009,500000054,2026-01-18,05:50:35,IMPS,56298,Zomato,Mumbai,ATM,No,Normal Transaction
900010,500000086,2026-08-11,08:35:40,UPI,82268,Swiggy,Bengaluru,ATM,No,Normal Transaction
900011,500000013,2026-04-16,02:55:08,Credit Card,27697,DMart,Pune,POS,No,Normal Transaction
900012,500000012,2026-11-08,10:51:08,UPI,48813,Zomato,Hyderabad,ATM,No,Normal Transaction
900013,500000154,2026-09-17,04:42:35,UPI,50471,Reliance,Lucknow,ATM,Yes,High Amount
900014,500000019,2026-12-10,10:02:27,UPI,38090,Uber,Bengaluru,ATM,No,Normal Transaction
900015,500000065,2026-09-21,08:20:09,ATM,13737,PhonePe,Delhi,POS,No,Normal Transaction
900016,500000121,2026-01-08,05:34:36,IMPS,19085,IRCTC,Bengaluru,Laptop,No,Normal Transaction
900017,500000160,2026-09-13,10:10:43,UPI,92075,DMart,Lucknow,Mobile,No,Normal Transaction
900018,500000004,2026-02-03,12:33:52,ATM,94512,Reliance,Pune,ATM,No,Normal Transaction
900019,500000127,2026-02-16,21:09:28,UPI,47256,Zomato,Lucknow,POS,No,Normal Transaction
900020,500000180,2026-08-19,06:40:36,UPI,45366,IRCTC,Hyderabad,Laptop,No,Normal Transaction
900021,500000054,2026-03-27,11:30:33,Credit Card,33241,Zomato,Pune,ATM,No,Normal Transaction
900022,500000055,2026-09-01,18:21:46,RTGS,62736,IRCTC,Hyderabad,Mobile,No,Normal Transaction
900023,500000086,2026-09-18,01:36:47,NEFT,28581,Flipkart,Hyderabad,ATM,No,Normal Transaction
900024,500000154,2026-04-05,06:26:32,NEFT,79796,Flipkart,Pune,ATM,No,Normal Transaction
900025,500000172,2026-10-28,16:59:53,Debit Card,23100,Paytm,Delhi,Mobile,No,Normal Transaction
900026,500000050,2026-07-19,05:25:55,Credit Card,56578,Amazon,Hyderabad,Mobile,No,Normal Transaction
900027,500000112,2026-07-18,01:19:20,UPI,85958,Swiggy,Lucknow,Laptop,No,Normal Transaction
900028,500000132,2026-11-08,04:56:18,Credit Card,33118,Zomato,Hyderabad,Mobile,No,Normal Transaction
900029,500000066,2026-02-08,02:18:49,NEFT,76655,Swiggy,Bengaluru,POS,No,Normal Transaction
900030,500000077,2026-03-27,16:31:41,Debit Card,45432,PhonePe,Hyderabad,POS,No,Normal Transaction
900031,500000069,2026-03-21,13:25:19,ATM,49863,Swiggy,Kolkata,Mobile,No,Normal Transaction
900032,500000117,2026-07-21,17:11:57,RTGS,75720,Flipkart,Lucknow,POS,No,Normal Transaction
900033,500000103,2026-03-17,11:15:36,NEFT,56938,Reliance,Bengaluru,Laptop,No,Normal Transaction
900034,500000110,2026-10-22,14:12:46,UPI,52577,Reliance,Bengaluru,POS,No,Normal Transaction
900035,500000029,2026-10-06,11:42:53,ATM,30386,Swiggy,Lucknow,Mobile,No,Normal Transaction
900036,500000027,2026-01-23,11:35:19,UPI,42769,Swiggy,Pune,ATM,Yes,Different City
900037,500000175,2026-11-20,15:53:09,RTGS,519,Amazon,Mumbai,POS,No,Normal Transaction
900038,500000171,2026-10-27,21:51:29,RTGS,54364,Uber,Mumbai,Laptop,Yes,High Amount
900039,500000038,2026-05-12,17:42:19,NEFT,79178,Paytm,Delhi,POS,No,Normal Transaction
900040,500000141,2026-01-21,07:01:37,RTGS,63375,Paytm,Lucknow,POS,No,Normal Transaction
900041,500000020,2026-06-12,11:25:00,UPI,98104,Zomato,Pune,ATM,No,Normal Transaction
900042,500000177,2026-02-28,23:54:36,Debit Card,81144,Paytm,Kolkata,POS,No,Normal Transaction
900043,500000115,2026-09-19,11:19:11,IMPS,89411,PhonePe,Lucknow,ATM,No,Normal Transaction
900044,500000055,2026-01-25,05:19:55,Debit Card,58070,Uber,Mumbai,POS,No,Normal Transaction
900045,500000085,2026-01-15,21:57:21,IMPS,6876,Flipkart,Lucknow,Mobile,No,Normal Transaction
900046,500000045,2026-05-28,11:17:13,UPI,96935,PhonePe,Bengaluru,POS,No,Normal Transaction
900047,500000017,2026-06-16,20:38:38,UPI,62286,IRCTC,Bengaluru,ATM,No,Normal Transaction
900048,500000088,2026-09-23,01:34:09,IMPS,96026,Reliance,Mumbai,Mobile,No,Normal Transaction
900049,500000123,2026-02-17,20:27:25,IMPS,68992,Flipkart,Lucknow,POS,No,Normal Transaction
900050,500000019,2026-01-15,21:08:59,UPI,7176,Paytm,Pune,Mobile,No,Normal Transaction
900051,500000040,2026-11-29,16:29:15,Debit Card,68504,PhonePe,Lucknow,Mobile,No,Normal Transaction
900052,500000039,2026-06-22,15:02:45,IMPS,90418,DMart,Mumbai,POS,No,Normal Transaction
900053,500000080,2026-09-12,18:58:31,Credit Card,45914,IRCTC,Pune,Laptop,No,Normal Transaction
900054,500000176,2026-11-30,16:16:16,RTGS,97670,Amazon,Mumbai,POS,No,Normal Transaction
900055,500000085,2026-06-26,01:28:43,RTGS,97932,Uber,Hyderabad,Mobile,No,Normal Transaction
900056,500000133,2026-09-25,13:56:08,NEFT,93133,Paytm,Bengaluru,POS,No,Normal Transaction
900057,500000168,2026-03-16,06:31:30,Debit Card,98939,PhonePe,Delhi,Mobile,No,Normal Transaction
900058,500000089,2026-02-12,10:02:33,Credit Card,522,Swiggy,Pune,Mobile,No,Normal Transaction
900059,500000129,2026-03-08,02:06:09,UPI,45938,Swiggy,Pune,Mobile,No,Normal Transaction
900060,500000031,2026-08-19,19:18:39,IMPS,76140,Zomato,Lucknow,POS,No,Normal Transaction
900061,500000006,2026-03-26,14:21:36,IMPS,97494,Amazon,Pune,Mobile,No,Normal Transaction
900062,500000147,2026-05-31,20:54:37,Credit Card,36743,Amazon,Pune,ATM,No,Normal Transaction
900063,500000135,2026-06-20,23:28:15,RTGS,18821,PhonePe,Lucknow,POS,Yes,Different City
900064,500000009,2026-06-19,12:58:06,UPI,50101,Flipkart,Kolkata,POS,No,Normal Transaction
900065,500000113,2026-01-28,09:44:33,Credit Card,91707,Swiggy,Pune,POS,Yes,Different City
900066,500000149,2026-07-15,05:23:26,RTGS,66608,Flipkart,Pune,ATM,No,Normal Transaction
900067,500000039,2026-11-02,07:52:23,NEFT,89042,Uber,Mumbai,Mobile,No,Normal Transaction
900068,500000147,2026-07-17,20:12:10,UPI,633,IRCTC,Bengaluru,Laptop,No,Normal Transaction
900069,500000158,2026-08-07,19:11:06,Credit Card,44368,Zomato,Hyderabad,POS,No,Normal Transaction
900070,500000180,2026-09-29,11:59:39,RTGS,15435,IRCTC,Pune,POS,Yes,Different City
900071,500000034,2026-07-19,20:51:25,ATM,44443,Uber,Pune,ATM,No,Normal Transaction
900072,500000155,2026-01-14,14:16:31,UPI,49904,Uber,Pune,Laptop,No,Normal Transaction
900073,500000022,2026-02-10,21:14:10,NEFT,70794,Paytm,Lucknow,Laptop,No,Normal Transaction
900074,500000161,2026-01-16,14:20:03,Credit Card,52388,Swiggy,Bengaluru,POS,No,Normal Transaction
900075,500000079,2026-08-06,01:56:22,UPI,16147,DMart,Bengaluru,ATM,No,Normal Transaction
900076,500000144,2026-10-23,20:06:58,Debit Card,91026,Reliance,Kolkata,Mobile,No,Normal Transaction
900077,500000091,2026-11-06,08:37:05,Debit Card,46066,Zomato,Hyderabad,Mobile,No,Normal Transaction
900078,500000033,2026-10-05,19:50:19,NEFT,9287,Swiggy,Lucknow,Mobile,No,Normal Transaction
900079,500000097,2026-05-07,15:22:44,IMPS,89484,Uber,Mumbai,POS,No,Normal Transaction
900080,500000168,2026-09-17,08:30:01,RTGS,11661,PhonePe,Mumbai,POS,No,Normal Transaction
900081,500000115,2026-07-29,21:25:36,IMPS,88203,Uber,Kolkata,Laptop,No,Normal Transaction
900082,500000085,2026-03-30,16:41:27,UPI,64611,IRCTC,Delhi,Mobile,No,Normal Transaction
900083,500000093,2026-12-04,11:43:07,NEFT,45070,Uber,Kolkata,Mobile,No,Normal Transaction
900084,500000162,2026-09-05,11:40:56,RTGS,40491,Flipkart,Delhi,Mobile,No,Normal Transaction
900085,500000042,2026-07-25,07:40:53,RTGS,13956,Paytm,Lucknow,Laptop,No,Normal Transaction
900086,500000175,2026-10-15,21:46:21,UPI,58133,DMart,Mumbai,ATM,No,Normal Transaction
900087,500000124,2026-11-27,08:20:19,Debit Card,3799,Flipkart,Lucknow,Mobile,No,Normal Transaction
900088,500000138,2026-10-23,05:43:33,ATM,42697,DMart,Mumbai,Laptop,No,Normal Transaction
900089,500000171,2026-06-13,23:12:15,RTGS,91790,Reliance,Delhi,ATM,No,Normal Transaction
900090,500000068,2026-09-16,07:44:57,RTGS,49821,DMart,Mumbai,POS,No,Normal Transaction
900091,500000052,2026-11-03,03:35:19,Debit Card,10648,Amazon,Kolkata,ATM,No,Normal Transaction
900092,500000116,2026-08-02,00:57:52,NEFT,93553,Zomato,Lucknow,Mobile,No,Normal Transaction
900093,500000109,2026-06-16,02:35:23,NEFT,68692,Reliance,Bengaluru,ATM,No,Normal Transaction
900094,500000078,2026-05-23,02:04:51,UPI,63157,Reliance,Pune,ATM,No,Normal Transaction
900095,500000070,2026-07-13,11:23:20,RTGS,60829,IRCTC,Hyderabad,POS,Yes,Multiple Transactions
900096,500000166,2026-08-03,17:25:46,UPI,98405,PhonePe,Lucknow,Laptop,No,Normal Transaction
900097,500000073,2026-08-23,01:48:01,Debit Card,962,Amazon,Bengaluru,Laptop,No,Normal Transaction
900098,500000077,2026-10-11,15:27:39,NEFT,51089,Zomato,Bengaluru,Mobile,No,Normal Transaction
900099,500000142,2026-04-26,09:03:35,Credit Card,42953,Paytm,Mumbai,ATM,No,Normal Transaction
900100,500000057,2026-03-14,19:36:59,UPI,84116,IRCTC,Pune,Laptop,No,Normal Transaction
900101,500000114,2026-04-25,18:25:43,ATM,65552,Paytm,Hyderabad,Laptop,No,Normal Transaction
900102,500000038,2026-10-23,08:34:58,NEFT,70677,IRCTC,Kolkata,POS,No,Normal Transaction
900103,500000092,2026-02-03,11:45:46,RTGS,53234,Uber,Mumbai,ATM,No,Normal Transaction
900104,500000035,2026-09-21,00:09:24,ATM,3463,IRCTC,Kolkata,ATM,No,Normal Transaction
900105,500000037,2026-12-29,17:22:12,RTGS,56367,Uber,Delhi,Mobile,No,Normal Transaction
900106,500000038,2026-05-11,01:23:57,RTGS,32315,IRCTC,Lucknow,Mobile,No,Normal Transaction
900107,500000037,2026-08-14,18:50:36,Credit Card,6180,DMart,Lucknow,Laptop,No,Normal Transaction
900108,500000068,2026-02-15,11:37:19,Credit Card,30671,Amazon,Delhi,ATM,No,Normal Transaction
900109,500000133,2026-12-11,02:38:06,Debit Card,81121,Flipkart,Kolkata,POS,No,Normal Transaction
900110,500000179,2026-12-05,09:19:48,Debit Card,87798,PhonePe,Hyderabad,Mobile,No,Normal Transaction
900111,500000125,2026-06-01,22:27:20,NEFT,21963,Reliance,Pune,Mobile,Yes,Multiple Transactions
900112,500000171,2026-12-01,02:58:18,RTGS,79149,IRCTC,Delhi,Mobile,No,Normal Transaction
900113,500000002,2026-02-08,09:30:04,ATM,20264,Amazon,Pune,Mobile,No,Normal Transaction
900114,500000148,2026-11-12,09:27:28,Credit Card,53934,Amazon,Kolkata,Laptop,No,Normal Transaction
900115,500000143,2026-03-26,17:10:59,NEFT,51490,Uber,Bengaluru,POS,No,Normal Transaction
900116,500000031,2026-05-27,00:02:15,UPI,58834,IRCTC,Delhi,Laptop,No,Normal Transaction
900117,500000022,2026-08-09,07:02:24,NEFT,13223,Amazon,Mumbai,POS,No,Normal Transaction
900118,500000063,2026-10-03,05:25:25,Debit Card,92391,Reliance,Hyderabad,Laptop,No,Normal Transaction
900119,500000008,2026-11-20,17:17:27,Credit Card,59335,Zomato,Mumbai,Mobile,No,Normal Transaction
900120,500000120,2026-04-10,12:00:22,Credit Card,34579,DMart,Delhi,Mobile,No,Normal Transaction
900121,500000061,2026-08-23,00:56:16,NEFT,92186,Swiggy,Bengaluru,ATM,No,Normal Transaction
900122,500000127,2026-02-04,04:29:16,Debit Card,38050,IRCTC,Delhi,ATM,No,Normal Transaction
900123,500000170,2026-07-16,20:16:32,Credit Card,86323,DMart,Kolkata,Mobile,No,Normal Transaction
900124,500000019,2026-01-19,15:47:49,RTGS,58199,DMart,Bengaluru,Laptop,No,Normal Transaction
900125,500000122,2026-05-21,05:18:42,NEFT,10321,Reliance,Hyderabad,Laptop,No,Normal Transaction
900126,500000133,2026-04-20,07:04:27,RTGS,77680,Zomato,Kolkata,Mobile,No,Normal Transaction
900127,500000144,2026-05-10,14:39:12,IMPS,32268,Flipkart,Hyderabad,Mobile,No,Normal Transaction
900128,500000008,2026-01-28,18:56:50,Debit Card,12135,PhonePe,Delhi,POS,No,Normal Transaction
900129,500000023,2026-12-28,07:46:40,ATM,74227,Swiggy,Kolkata,Laptop,No,Normal Transaction
900130,500000101,2026-04-19,09:25:07,IMPS,91028,Flipkart,Hyderabad,POS,No,Normal Transaction
900131,500000076,2026-05-08,12:14:35,Credit Card,6251,Amazon,Lucknow,Mobile,No,Normal Transaction
900132,500000070,2026-10-28,01:36:51,RTGS,32938,DMart,Mumbai,Mobile,No,Normal Transaction
900133,500000146,2026-06-18,14:49:17,ATM,6762,DMart,Hyderabad,ATM,No,Normal Transaction
900134,500000082,2026-12-19,15:26:47,Credit Card,10556,Flipkart,Mumbai,Mobile,No,Normal Transaction
900135,500000160,2026-02-16,08:37:26,NEFT,37766,Uber,Mumbai,ATM,No,Normal Transaction
900136,500000143,2026-12-03,02:02:10,ATM,54980,PhonePe,Delhi,Laptop,No,Normal Transaction
900137,500000053,2026-08-15,13:28:00,Debit Card,17559,Paytm,Pune,Mobile,No,Normal Transaction
900138,500000119,2026-12-10,01:04:22,Credit Card,4971,Amazon,Mumbai,ATM,No,Normal Transaction
900139,500000091,2026-03-19,20:07:07,RTGS,7488,Amazon,Delhi,ATM,No,Normal Transaction
900140,500000130,2026-05-18,17:41:55,IMPS,12748,PhonePe,Pune,Mobile,No,Normal Transaction
900141,500000170,2026-06-13,14:17:38,ATM,95713,IRCTC,Hyderabad,Laptop,No,Normal Transaction
900142,500000145,2026-03-11,18:48:44,NEFT,14980,Swiggy,Delhi,ATM,No,Normal Transaction
900143,500000135,2026-04-29,17:41:09,IMPS,16201,Paytm,Pune,POS,No,Normal Transaction
900144,500000090,2026-01-28,15:53:10,ATM,45926,IRCTC,Hyderabad,Laptop,No,Normal Transaction
900145,500000021,2026-07-01,00:16:29,IMPS,78090,Paytm,Mumbai,Mobile,No,Normal Transaction
900146,500000140,2026-01-22,00:18:16,ATM,15304,Reliance,Bengaluru,POS,No,Normal Transaction
900147,500000117,2026-11-26,04:06:55,IMPS,43421,Amazon,Mumbai,ATM,No,Normal Transaction
900148,500000158,2026-04-13,07:05:07,RTGS,2357,IRCTC,Bengaluru,ATM,No,Normal Transaction
900149,500000059,2026-08-28,05:56:21,RTGS,70528,PhonePe,Pune,ATM,No,Normal Transaction
900150,500000001,2026-04-13,02:26:37,NEFT,54628,Reliance,Bengaluru,POS,No,Normal Transaction
900151,500000173,2026-08-22,12:28:53,Debit Card,65740,Flipkart,Hyderabad,Laptop,No,Normal Transaction
900152,500000145,2026-02-05,18:09:39,Credit Card,33558,Reliance,Delhi,Mobile,No,Normal Transaction
